country,from,to
NGA,ab Abia State,Abia
NGA,ad Adamawa State,Adamawa
NGA,ak Akwa-Ibom State,Akwa-Ibom
NGA,an Anambra state,Anambra
NGA,ba Bauchi State,Bauchi
NGA,be Benue State,Benue
NGA,bo Borno State,Borno
NGA,by Bayelsa State,Bayelsa
NGA,cr Cross River State,Cross-River
NGA,Cross River,Cross-River
NGA,de Delta State,Delta
NGA,eb Ebonyi State,Ebonyi
NGA,ed Edo State,Edo
NGA,ek Ekiti State,Ekiti
NGA,en Enugu State,Enugu
NGA,FCT,FCT-Abuja
NGA,fc Federal Capital Territory,FCT-Abuja
NGA,go Gombe State,Gombe
NGA,im Imo State,Imo
NGA,jg Jigawa State,Jigawa
NGA,ji Jigawa State,Jigawa
NGA,jiJigawaState,Jigawa
NGA,kd Kaduna State,Kaduna
NGA,ke Kebbi State,Kebbi
NGA,kn Kano State,Kano
NGA,ko Kogi State,Kogi
NGA,kt Katsina State,Katsina
NGA,kw Kwara State,Kwara
NGA,la Lagos State,Lagos
NGA,na Nasarawa State,Nasarawa
NGA,ni Niger State,Niger
NGA,og Ogun State,Ogun
NGA,on Ondo State,Ondo
NGA,os Osun State,Osun
NGA,oy Oyo State,Oyo
NGA,pl Plateau State,Plateau
NGA,ri Rivers State,Rivers
NGA,so Sokoto State,Sokoto
NGA,ta Taraba State,Taraba
NGA,yo Yobe State,Yobe
NGA,za Zamfara State,Zamfara
