country ,adm1     ,from      ,to
NGA     ,Kano     ,Nasarawa  ,Nasarawa1
NGA     ,Nasarawa ,Nasarawa  ,Nasarawa2
NGA     ,Kogi     ,Bassa     ,Bassa1
NGA     ,Plateau  ,Bassa     ,Bassa2
NGA     ,Kwara    ,Ifelodun  ,Ifelodun1
NGA     ,Osun     ,Ifelodun  ,Ifelodun2
NGA     ,Kwara    ,Irepodun  ,Irepodun1
NGA     ,Osun     ,Irepodun  ,Irepodun2
NGA     ,Kano     ,Nassarawa ,Nasarawa1
NGA     ,Nasarawa ,Nasarawa  ,Nasarawa2
NGA     ,Benue    ,Obi       ,Obi1
NGA     ,Nasarawa ,Obi       ,Obi2
NGA     ,Lagos    ,Surulere  ,Surulere1
NGA     ,Oyo      ,Surulere  ,Surulere2
