country,from,to
BDI,Janvier,1
BDI,Février,2
BDI,Mars,3
BDI,Avril,4
BDI,Mai,5
BDI,Juin,6
BDI,Juillet,7
BDI,Août,8
BDI,Septembre,9
BDI,Octobre,10
BDI,Novembre,11
BDI,Décembre,12
BDI,Airesderesponsailité,hfca
BDI,Airesderesponsabilité,hfca
BDI,orgunitlevel1,Pays
BDI,orgunitlevel2,adm1
BDI,orgunitlevel3,adm2_ds
BDI,orgunitlevel4,adm3
BDI,orgunitlevel5,hfca
BDI,orgunitlevel6,Centre
BDI,organisationunitname,hfname
BDI,Provinces,adm1
BDI,Districts,adm2_ds
BDI,Centresdesanté,hfname
BDI,Village,adm3
BDI,Aires de responsailité,hfca
