ADM1_NAME,ADM2_NAME
MUDUG,GOLDOGOB
MUDUG,HOBYO
MUDUG,JARIBAN
MUDUG,HARA DHERE
BARI,ALULA
BARI,BARGAL
BARI,BOSSASO
BARI,ISKUSHUBAN
BARI,QANDALA
BARI,UFEYN
MUDUG,GALKAYU
BARI,BENDER BAYLA
BARI,GARDO
BARI,HAFUN
BARI,RAKO
BARI,WACIYA
AWDAL,BAKI
AWDAL,BORAMA
AWDAL,LUGHAYA
AWDAL,ZEILA
BAKOL,EL BARDE
BAKOL,HUDUR
BAKOL,RABDURE
BAKOL,TIEGLO
BAKOL,WAJID
BANADIR,ABDUL AZIZ
BANADIR,BONDERE
BANADIR,DANYILE
BANADIR,DHARKENLEY
BANADIR,HAMAR JABJAB
BANADIR,HAMARWEYNE
BANADIR,HAWALWADAG
BANADIR,HELIWA
BANADIR,HODAN
BANADIR,KAHDA
BANADIR,KARAN
BANADIR,MEDINA
BANADIR,SHANGANI
BANADIR,SHIBIS
BANADIR,WABERI
BANADIR,WARDEGLY
BANADIR,YAQSHID
BAY,BAIDOA
BAY,BARDALE
BAY,BURHAKABA
BAY,DINSOR
BAY,QANSAH DERE
GALBEED,B/GUBADLE
GALBEED,GABILEY
GALBEED,HARGEISA
GALGADUD,ABUDWAQ
GALGADUD,ADADO
GALGADUD,BALANBALE
GALGADUD,DUSAMREB
GALGADUD,EL BUR
GALGADUD,EL DHERE
GALGADUD,ELGARAS
GALGADUD,GALAD
GALGADUD,GALHARERI
GALGADUD,GALINSOR
GALGADUD,GURIEL
GEDO,BARDERA
GEDO,BELET HAWA
GEDO,BURDUBO
GEDO,DOLO
GEDO,EL WAQ
GEDO,GARBAHARE
GEDO,GEDWEIN
GEDO,LUUQ
HIRAN,BELET WEYNE
HIRAN,BULO BURTI
HIRAN,JALALAQSI
HIRAN,MAHAS
HIRAN,MATABAN
KARKAR,BENDER BAYLA
KARKAR,GARDO
KARKAR,HAFUN
KARKAR,RAKO
KARKAR,WACIYA
LOWER JUBA,AFMADOW
LOWER JUBA,BADADE
LOWER JUBA,HAGAR
LOWER JUBA,JAMAAME EAST
LOWER JUBA,JAMAAME WEST
LOWER JUBA,JILIB WEST
LOWER JUBA,KISMAYO
LOWER SHABELLE,AFGOI
LOWER SHABELLE,AWDHEEGLE
LOWER SHABELLE,BRAVA
LOWER SHABELLE,KURTUNWAAREY
LOWER SHABELLE,MARKA
LOWER SHABELLE,QORYOLEY
LOWER SHABELLE,SABLALE
LOWER SHABELLE,WANLEWEYNE
MIDDLE JUBA,BUAALE
MIDDLE JUBA,JILIB EAST
MIDDLE JUBA,SAKOW
MIDDLE JUBA,SALAGLE
MIDDLE SHABELLE,ADALE
MIDDLE SHABELLE,ADEN YABAL
MIDDLE SHABELLE,BALAD
MIDDLE SHABELLE,JOWHAR
MIDDLE SHABELLE,MAHADAY
MIDDLE SHABELLE,RAGA ELLE
MIDDLE SHABELLE,RUNINGOD
MIDDLE SHABELLE,WARSHEIKH
MUDUG GM,GALKAYU SOUTH
MUDUG GM,HARA DHERE
MUDUG GM,HOBYO
MUDUG PL,GALKAYU NORTH
MUDUG PL,GOLDOGOB
MUDUG PL,JARIBAN
NUGAL,BURTINLE
NUGAL,DANGOROYO
NUGAL,EYL
NUGAL,GAROWE
SAHIL,BERBERA
SAHIL,SHEIKH
SANAG,BADAN
SANAG,EL AFWEIN
SANAG,ERIGAVO
SOOL,HUDUN
SOOL,LAS ANOD
SOOL,TALEH
TOGDHER,AINABO
TOGDHER,BUHODLE
TOGDHER,BURAO
TOGDHER,OWDWEYNE
