adm0,adm1,adm2,exp,rep,reprat
Federal Government of Somalia,Bakool Region,El-Barde District,408,172,0.4215686274509804
Federal Government of Somalia,Bakool Region,Hudur District,640,302,0.471875
Federal Government of Somalia,Bakool Region,Rabdhure District,292,73,0.25
Federal Government of Somalia,Bakool Region,Tiyeglow District,176,25,0.14204545454545456
Federal Government of Somalia,Bakool Region,Wajid District,524,175,0.33396946564885494
Federal Government of Somalia,Bay Region,Baidoba District,2670,1322,0.4951310861423221
Federal Government of Somalia,Bay Region,Berdalle District,292,144,0.4931506849315068
Federal Government of Somalia,Bay Region,Burhakaba District,292,76,0.2602739726027397
Federal Government of Somalia,Bay Region,Diinsor District,350,62,0.17714285714285713
Federal Government of Somalia,Bay Region,Qansaxdhere District,118,89,0.7542372881355932
Federal Government of Somalia,Benadir Region,Abdul Aziz District,292,115,0.3938356164383562
Federal Government of Somalia,Benadir Region,Bondheere District,176,105,0.5965909090909091
Federal Government of Somalia,Benadir Region,Deynile District,1162,632,0.5438898450946644
Federal Government of Somalia,Benadir Region,Dharkeynley District,582,281,0.48281786941580757
Federal Government of Somalia,Benadir Region,Hamar JabJab District,176,86,0.48863636363636365
Federal Government of Somalia,Benadir Region,Hamar Wayne District,118,45,0.3813559322033898
Federal Government of Somalia,Benadir Region,Hawal Wadag District,176,55,0.3125
Federal Government of Somalia,Benadir Region,Heliwaa District,350,144,0.4114285714285714
Federal Government of Somalia,Benadir Region,Hodan District,640,145,0.2265625
Federal Government of Somalia,Benadir Region,Kahda District,640,260,0.40625
Federal Government of Somalia,Benadir Region,Karan District,466,232,0.4978540772532189
Federal Government of Somalia,Benadir Region,Shangani District,118,79,0.6694915254237288
Federal Government of Somalia,Benadir Region,Shibis District,176,44,0.25
Federal Government of Somalia,Benadir Region,Waberi District,234,81,0.34615384615384615
Federal Government of Somalia,Benadir Region,Wadajir District,640,310,0.484375
Federal Government of Somalia,Benadir Region,Warta nabada District,292,148,0.5068493150684932
Federal Government of Somalia,Benadir Region,Yaqshid District,814,212,0.26044226044226043
Federal Government of Somalia,Galgadud Region,Abudwak District,1104,154,0.13949275362318841
Federal Government of Somalia,Galgadud Region,Adado District,1046,419,0.4005736137667304
Federal Government of Somalia,Galgadud Region,Balanbale   District,466,62,0.13304721030042918
Federal Government of Somalia,Galgadud Region,Ceelbuur District,176,51,0.2897727272727273
Federal Government of Somalia,Galgadud Region,Dhuusamarreb  District,1510,480,0.31788079470198677
Federal Government of Somalia,Galgadud Region,Eldhere District,524,120,0.22900763358778625
Federal Government of Somalia,Gedo Region,Bardera District,930,448,0.4817204301075269
Federal Government of Somalia,Gedo Region,Beled Hawo District,872,316,0.3623853211009174
Federal Government of Somalia,Gedo Region,Buurdhubo District,234,46,0.19658119658119658
Federal Government of Somalia,Gedo Region,Ceel Waaq District,582,195,0.33505154639175255
Federal Government of Somalia,Gedo Region,Dolow District,872,481,0.551605504587156
Federal Government of Somalia,Gedo Region,Garbaharey District,408,173,0.42401960784313725
Federal Government of Somalia,Gedo Region,Luuq District,756,391,0.5171957671957672
Federal Government of Somalia,Hiiraan Region,Belet Weyne District,1336,535,0.4004491017964072
Federal Government of Somalia,Hiiraan Region,Buloburte District,524,170,0.3244274809160305
