adm1,adm2,pub_treat,priv_treat,no_treat
AWDAL,BAKI,0.29,0.34,0.37
AWDAL,BORAMA,0.29,0.34,0.37
AWDAL,LUGHAYA,0.29,0.34,0.37
AWDAL,ZEILA,0.29,0.34,0.37
BAKOL,EL BARDE,0.6641456279872108,0.15108772102973048,0.18476665098305878
BAKOL,HUDUR,0.6641456279872108,0.15108772102973048,0.18476665098305878
BAKOL,RABDURE,0.6641456279872108,0.15108772102973048,0.18476665098305878
BAKOL,TIYEGLO,0.6641456279872108,0.15108772102973048,0.18476665098305878
BAKOL,WAJID,0.6641456279872108,0.15108772102973048,0.18476665098305878
BANADIR,MOGADISHU,0.28,0.55,0.18
BARI,ALULA,0.38,0.37,0.25
BARI,BOSSASO,0.38,0.37,0.25
BARI,ISKUSHUBAN,0.38,0.37,0.25
BARI,QANDALA,0.38,0.37,0.25
BAY,BAIDOA,0.42,0.26,0.32
BAY,BURHAKABA,0.42,0.26,0.32
BAY,DINSOR,0.42,0.26,0.32
BAY,QANSAH DHEERE,0.42,0.26,0.32
GALGADUD,ABUDWAQ,0.43,0.44,0.13
GALGADUD,ADADO,0.43,0.44,0.13
GALGADUD,DUSAMREB,0.43,0.44,0.13
GALGADUD,EL BUR,0.43,0.44,0.13
GALGADUD,EL DHERE,0.43,0.44,0.13
GEDO,BARDERA,0.5263599093374295,0.28382724294655426,0.18981284771601625
GEDO,BELET HAWA,0.5263599093374295,0.28382724294655426,0.18981284771601625
GEDO,DOLOW,0.5263599093374295,0.28382724294655426,0.18981284771601625
GEDO,EL WAK,0.5263599093374295,0.28382724294655426,0.18981284771601625
GEDO,GARBAHAREY,0.5263599093374295,0.28382724294655426,0.18981284771601625
GEDO,LUUQ,0.5263599093374295,0.28382724294655426,0.18981284771601625
HIRAN,BELETWEYNE,0.36,0.58,0.06
HIRAN,BULOBURTE,0.36,0.58,0.06
HIRAN,JALALAQSI,0.36,0.58,0.06
KARKAR,BENDER BAYLA,0.38,0.37,0.25
KARKAR,GARDO,0.38,0.37,0.25
KARKAR,HAFUN,0.38,0.37,0.25
KARKAR,RAKO,0.38,0.37,0.25
KARKAR,WACIYA,0.38,0.37,0.25
LOWER JUBA,AFMADOW,0.38775618104804854,0.3983553338308006,0.21388848512115088
LOWER JUBA,BADADE,0.38775618104804854,0.3983553338308006,0.21388848512115088
LOWER JUBA,JAMAAME,0.38775618104804854,0.3983553338308006,0.21388848512115088
LOWER JUBA,KISMAYO,0.38775618104804854,0.3983553338308006,0.21388848512115088
LOWER SHABELLE,AFGOYE,0.3374478232830971,0.26973620366091877,0.39281597305598415
LOWER SHABELLE,BRAVA,0.3374478232830971,0.26973620366091877,0.39281597305598415
LOWER SHABELLE,KURTUNWAAREY,0.3374478232830971,0.26973620366091877,0.39281597305598415
LOWER SHABELLE,MARKA,0.3374478232830971,0.26973620366091877,0.39281597305598415
LOWER SHABELLE,QORYOLAY,0.3374478232830971,0.26973620366091877,0.39281597305598415
LOWER SHABELLE,SABLALE,0.3374478232830971,0.26973620366091877,0.39281597305598415
LOWER SHABELLE,WANLE-WEYN,0.3374478232830971,0.26973620366091877,0.39281597305598415
MARODIJEH,GABILEY,0.28,0.54,0.18
MARODIJEH,HARGEISA,0.28,0.54,0.18
MIDDLE JUBA,BUAALE,0.38775618104804854,0.3983553338308006,0.21388848512115088
MIDDLE JUBA,JILIB,0.38775618104804854,0.3983553338308006,0.21388848512115088
MIDDLE JUBA,SAKOW,0.38775618104804854,0.3983553338308006,0.21388848512115088
MIDDLE SHABELLE,ADALE,0.34,0.27,0.39
MIDDLE SHABELLE,ADEN-YABL,0.34,0.27,0.39
MIDDLE SHABELLE,BALAD,0.34,0.27,0.39
MIDDLE SHABELLE,JOWHAR,0.34,0.27,0.39
MUDUG,GALKACYO,0.34,0.31,0.35
MUDUG,GOLDOGOB,0.34,0.31,0.35
MUDUG,HARARDERE,0.34,0.31,0.35
MUDUG,HOBYO,0.34,0.31,0.35
MUDUG,JARIBAN,0.34,0.31,0.35
NUGAL,BURTINLE,0.46,0.37,0.17
NUGAL,EYL,0.46,0.37,0.17
NUGAL,GAROWE,0.46,0.37,0.17
SAHIL,BERBERA,0.28,0.54,0.18
SAHIL,SHEIKH,0.28,0.54,0.18
SANAG,BADHAN,0.35,0.21,0.44
SANAG,EL AFWEYN,0.35,0.21,0.44
SANAG,ERIGAVO,0.35,0.21,0.44
SOOL,HUDUN,0.28,0.3,0.42
SOOL,LAS ANOD,0.28,0.3,0.42
SOOL,TALEH,0.28,0.3,0.42
TOGDHEER,AYNABO,0.27,0.54,0.19
TOGDHEER,BUHODLE,0.27,0.54,0.19
TOGDHEER,BURAO,0.27,0.54,0.19
TOGDHEER,ODWAYNE,0.27,0.54,0.19
NA,NA,NA,NA,NA
